season,team,wins,losses,scores_for,scores_against,score_differential,one_point_goals,two_point_goals,assists,shots,shot_percentage,x2_point_shots,x2_point_shot_pecentage,shots_on_goal,shots_on_goal_pecentage,turnovers,caused_turnovers,groundballs,faceoff_pecentage,faceoffs_won,faceoffs_lost,saves,save_percentage,penalties,penalty_minutes,power_play_pecentage,power_play_goals,power_play_shots,x2_point_goals_allowed,penalty_kill_pecentage,penalty_kills,playoff_notes
2019,Chaos,7,3,130,128,2,106,12,67,382,0.31,57,0.211,234,0.613,144,63,272,0.473,133,148,156,0.555,33,18,0.478,11,8,3,0.69,20 - 29,Lost Semifinals
2019,Whipsnakes,6,4,125,116,9,101,12,71,442,0.26,62,0.194,246,0.557,97,54,262,0.521,134,123,133,0.55,24,13,0.263,5,7,7,0.636,14 - 22,Won Final
2019,Atlas,5,5,125,132,-7,109,8,73,402,0.29,64,0.125,248,0.617,124,50,286,0.616,167,104,140,0.534,42,27,0.435,10,9,10,0.7,21 - 30,Lost Quarterfinals
2019,Redwoods,5,5,116,117,-1,112,2,61,435,0.26,42,0.048,252,0.579,122,65,256,0.419,106,147,117,0.522,19,28,0.353,12,20,10,0.643,9 - 14,Lost Final
2019,Archers,5,5,112,106,6,100,6,67,438,0.24,42,0.143,257,0.587,130,54,266,0.457,111,132,126,0.555,24,16,0.519,14,9,5,0.714,15 - 21,Missed Playoffs
2019,Chrome,2,8,127,137,-10,113,7,61,415,0.29,45,0.156,246,0.593,139,68,329,0.509,142,137,129,0.508,29,16,0.2,3,7,12,0.56,14 - 25,Missed Playoffs
2020,Whipsnakes,4,0,82,51,31,74,4,45,258,0.3,38,0.105,164,0.636,96,33,223,0.698,104,45,83,0.629,13,9.5,0.417,5,12,2,0.727,8 - 11,Won Final
2020,Archers,3,1,64,68,-4,62,1,35,213,0.3,27,0.037,143,0.671,91,41,167,0.48,72,78,72,0.526,11,8,0.308,4,18,3,0.5,4 - 8,Lost Semifinals
2020,Chrome,3,1,64,64,0,58,3,32,190,0.32,29,0.103,109,0.574,80,37,157,0.567,76,58,68,0.544,15,14,0.667,6,13,7,0.75,9 - 12,Lost Quarterfinals
2020,Redwoods,2,2,62,63,-1,42,10,31,242,0.22,41,0.244,145,0.599,94,70,167,0.362,47,83,71,0.559,19,16,0.45,9,26,7,0.5,9 - 18,Lost Semifinals
2020,Waterdogs,1,3,47,53,-6,37,5,22,186,0.23,30,0.167,117,0.629,80,51,157,0.563,63,49,57,0.528,10,8.5,0.286,4,15,2,0.571,4 - 7,Lost Quarterfinals
2020,Atlas,1,3,46,58,-12,40,3,25,202,0.21,36,0.083,110,0.545,85,43,154,0.5,58,58,69,0.566,19,14.5,0.3,3,8,5,0.706,12 - 17,Lost Quarterfinals
2020,Chaos,0,4,70,78,-8,64,3,32,255,0.26,38,0.079,157,0.616,102,52,179,0.353,59,108,119,0.613,18,14,0.4,4,9,3,0.467,7 - 15,Lost Final
2021,Atlas,6,3,120,108,12,98,11,57,392,0.28,56,0.196,248,0.633,150,96,349,0.623,154,93,102,0.498,13,9.5,0.231,3,9,5,0.75,9 - 12,Lost Semifinals
2021,Waterdogs,6,3,111,98,13,95,8,54,371,0.28,43,0.186,216,0.582,162,94,330,0.522,118,108,97,0.519,13,10.5,0.192,5,35,8,0.667,8 - 12,Lost Semifinals
2021,Archers,5,4,119,95,24,111,4,70,364,0.32,33,0.121,232,0.637,148,79,306,0.438,103,132,130,0.602,17,13.5,0.526,10,23,9,0.692,9 - 13,Lost Quarterfinals
2021,Redwoods,5,4,110,106,4,94,8,54,354,0.29,36,0.222,218,0.616,155,63,296,0.595,141,96,135,0.567,23,17,0.588,10,19,3,0.81,17 - 21,Lost Quarterfinals
2021,Whipsnakes,5,4,102,113,-11,92,5,47,426,0.23,55,0.091,252,0.592,151,69,369,0.558,134,106,99,0.481,13,11.5,0.538,7,24,6,0.5,6 - 12,Lost Final
2021,Chaos,4,5,96,105,-9,78,9,56,306,0.28,60,0.15,192,0.627,156,82,298,0.438,95,122,149,0.608,25,31.5,0.231,3,12,9,0.5,9 - 18,Won Final
2021,Cannons,3,6,110,120,-10,102,4,52,320,0.33,28,0.143,223,0.697,133,91,300,0.358,92,165,140,0.549,30,38,0.286,4,13,5,0.6,15 - 25,Lost Quarterfinals
2021,Chrome,2,7,92,115,-23,82,5,55,331,0.26,33,0.152,203,0.613,161,90,310,0.467,107,122,126,0.543,18,15,0.308,4,12,9,0.6,9 - 15,Missed Playoffs
2022,Whipsnakes,9,1,118,98,20,104,7,59,419,0.27,41,0.171,253,0.604,176,57,318,0.622,150,90,125,0.581,15,11.5,0.389,7,20,8,0.667,10 - 15,Lost Semifinals
2022,Chrome,7,3,120,102,18,114,3,70,371,0.32,19,0.158,245,0.66,168,71,330,0.552,139,112,113,0.541,25,21.5,0.31,9,17,6,0.762,16 - 21,Lost Quarterfinals
2022,Archers,6,4,130,110,20,116,7,75,386,0.32,39,0.179,268,0.694,147,76,289,0.383,102,162,106,0.502,28,21.5,0.407,11,22,5,0.621,18 - 29,Lost Semifinals
2022,Atlas,6,4,128,119,9,102,13,72,395,0.29,52,0.25,252,0.638,176,61,322,0.631,166,97,132,0.548,30,21.5,0.412,7,23,10,0.679,19 - 28,Lost Quarterfinals
2022,Waterdogs,5,5,130,133,-3,114,8,73,440,0.28,43,0.186,275,0.625,150,78,314,0.41,119,167,119,0.48,24,15.5,0.381,8,22,4,0.4,8 - 20,Won Final
2022,Redwoods,4,6,114,124,-10,96,9,55,375,0.28,48,0.188,235,0.627,167,75,281,0.517,136,124,91,0.433,22,19,0.429,9,21,5,0.722,13 - 18,Lost Quarterfinals
2022,Chaos,2,8,101,126,-25,93,4,58,316,0.31,38,0.105,205,0.649,176,53,263,0.425,108,145,137,0.537,25,21,0.522,12,22,8,0.591,13 - 22,Lost Final
2022,Cannons,1,9,111,140,-29,107,2,55,394,0.28,29,0.069,253,0.642,161,64,301,0.459,129,152,132,0.498,27,19,0.13,3,23,7,0.615,16 - 26,Missed Playoffs
